"case_1","case_2","accused_in_common"
"Caso ERE/Alcolea del Río","Caso ERE/Pieza Política",2
"Caso ERE/Alcolea del Río","Caso ERE/Río Grande",1
"Caso ERE/Alcolea del Río","Caso ERE/Santana Motor",2
"Caso ERE/Alcolea del Río","Caso ERE/Siemens Metering",1
"Caso ERE/Alcolea del Río","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Alcolea del Río","Caso ERE/Sobrecomisiones",1
"Caso ERE/Alcolea del Río","Caso ERE/Surcolor",1
"Caso ERE/Alcolea del Río","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Alcolea del Río","Caso ERE/Yogures Andaluces",2
"Caso ERE/Alcolea del Río","Caso Umax",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/CENFORPRE",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Egmasa",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Empresa ABB",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Franja Pirítica",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Hamsa Primayor",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Heineken España",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Instaladora Moderna",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Nexprom",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Peninsular del Latón",1
